Proposal,Observation,Data Type,Intent,Instrument,Filter,Target Moving,Target Name,Polygon Boundary,Exposure Start,Exposure End,Exposure Length (m),Asteroids,Common Name,JPL Classification,JPL Radius (km),JPL Geo Albedo,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),"JPL Midpoint (RA,DEC)",JPL Pos Rates (arcsec/hr),JPL Pos Uncertainty (arcsec),Readout Mode,Sub Array Configuation,Array Data Type,Dither Type,BrightSky Pix Numbers,Pixel Units,Flux Density (MJy/sr),Pixel Area (arcsec2/Pix),JPL Visual Magnitude (mag),JPL Surface Brightness (mag/arcsec2),Asteroid Flux (mJy),Flux Error %,Annulus / Img Median,S/N,JPL Asteroid Distance (pix),JPL Asteroid Distance (arcsec/exptime),JPL Center Offset (arcsec),Aperture NAN Perc,Annulus NAN Perc,Streak Flag,Datalabs
1051,jw01051002001_02103_00002_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3438291809997 4.006632421000001 182.37164605500013 3.9920891449999987 182.35724874200017 3.9641514009999983 182.32934594000028 3.978413303,2022-05-24 13:45:48.931,2022-05-24 13:47:14.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02103_00003_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34496453100016 4.002324114000001 182.3727812389998 3.987780799 182.35838396299968 3.9598430750000024 182.330481327 3.974105014999998,2022-05-24 13:48:38.211,2022-05-24 13:50:04.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02105_00001_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34902847999996 4.007516831999997 182.37684496799986 3.992973477000002 182.36244770999983 3.965035625000001 182.33454478999985 3.9792978129999987,2022-05-24 13:53:29.626,2022-05-24 13:54:52.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02105_00002_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34383373200004 4.006648243999998 182.3716502779999 3.992105058 182.3572532049999 3.964167119000002 182.32935022799978 3.978429137999997,2022-05-24 13:56:16.154,2022-05-24 13:57:39.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051002001_02105_00003_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3449692799998 4.002340024000001 182.3727856590002 3.987796796999999 182.35838862099988 3.9598588789999978 182.33048581 3.9741209389999987,2022-05-24 13:59:05.433,2022-05-24 14:00:28.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02101_00001_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34131214300015 4.000185477 182.36912922799974 3.9856421150000014 182.35473240599993 3.957704411000001 182.32682917600002 3.9719661029999984,2022-05-24 14:34:17.246,2022-05-24 14:37:12.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02101_00002_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33604381900025 3.9985159980000002 182.3638609349997 3.9839728039999986 182.3494643120002 3.9560350130000015 182.32156105200022 3.9702965370000016,2022-05-24 14:38:38.110,2022-05-24 14:41:32.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02101_00003_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34199595199985 3.995851435000001 182.36981287500026 3.9813080450000022 182.35541610199977 3.9533703560000024 182.32751303299983 3.967632075,2022-05-24 14:43:01.726,2022-05-24 14:45:56.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02103_00001_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34129636200012 4.000191531 182.36911315900016 3.985648523999998 182.35471622999992 3.957710641000001 182.32681350900026 3.971972273000002,2022-05-24 14:49:35.807,2022-05-24 14:51:01.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02103_00002_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33602803600002 3.998522028 182.36384485799996 3.9839791779999985 182.34944811800014 3.956041214 182.32154537200003 3.9703026890000026,2022-05-24 14:52:27.903,2022-05-24 14:53:53.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02103_00003_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3419802469998 3.9958574800000024 182.36979687600007 3.9813144340000015 182.35539998400031 3.9533765720000016 182.32749742900023 3.967638244000003,2022-05-24 14:55:19.935,2022-05-24 14:56:45.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02105_00001_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34130102700013 4.000207394000003 182.36911748400018 3.985664454000002 182.35472077200023 3.9577263890000003 182.3268178879998 3.9719881609999987,2022-05-24 15:00:00.214,2022-05-24 15:01:23.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02105_00002_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33603267600017 3.998538005000001 182.3638491700001 3.9839952450000027 182.3494526689999 3.9560570860000017 182.32154974800014 3.970318679999998,2022-05-24 15:02:49.494,2022-05-24 15:04:12.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051003001_02105_00003_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34198491400002 3.995873499999998 182.36980121500028 3.9813305440000017 182.35540456299995 3.953392485999998 182.32750183300024 3.9676542759999984,2022-05-24 15:05:36.022,2022-05-24 15:06:59.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02101_00001_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.32903031600017 4.003149927999998 182.3568477039999 3.988606955 182.34245122299996 3.960669052 182.31454769400028 3.974930353000002,2022-05-24 15:44:07.642,2022-05-24 15:47:02.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02101_00002_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3233793509999 4.0063534170000015 182.35119696299975 3.991810664000001 182.336800648 3.963872646999998 182.3088968969998 3.9781337269999972,2022-05-24 15:48:34.074,2022-05-24 15:51:28.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02101_00003_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.32865297600017 4.005127306999998 182.35647044400022 3.990584358999999 182.34207395400026 3.9626464429999997 182.3141703450002 3.9769077190000024,2022-05-24 15:52:52.186,2022-05-24 15:55:47.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02103_00001_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3290142070001 4.003156169999997 182.35683133 3.9886135969999987 182.34243478800008 3.960675490999998 182.31453174400002 3.9749366880000014,2022-05-24 15:59:37.339,2022-05-24 16:01:03.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02103_00002_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.323360292 4.006357639000001 182.35117760399973 3.9918152190000002 182.33678116000024 3.9638770339999994 182.30887792899995 3.9781380769999997,2022-05-24 16:02:29.371,2022-05-24 16:03:55.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02103_00003_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.328637156 4.005133366 182.35645433399984 3.9905907709999973 182.3420577349998 3.9626526770000017 182.31415463599976 3.9769138959999975,2022-05-24 16:05:21.467,2022-05-24 16:06:47.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02105_00001_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.329018818 4.003171954000001 182.35683559799986 3.988629442 182.34243926599987 3.960691156999997 182.3145360620002 3.9749525,2022-05-24 16:09:58.930,2022-05-24 16:11:22.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02105_00002_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.32335930499997 4.006371854000003 182.35117628899974 3.9918295240000004 182.3367800850002 3.9638911450000016 182.3088766790003 3.978152306000002,2022-05-24 16:13:07.666,2022-05-24 16:14:30.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051004001_02105_00003_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3286416800003 4.005149274999999 182.35645853000008 3.9906067690000007 182.34206217000022 3.962668481000002 182.31415889699983 3.9769298180000034,2022-05-24 16:15:59.697,2022-05-24 16:17:22.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02101_00001_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33041027899984 4.009779798999999 182.358227935 3.995236912000003 182.34383142499982 3.9672989660000018 182.31592762800025 3.9815601800000007,2022-05-24 16:51:33.782,2022-05-24 16:54:28.610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02101_00002_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3286748220002 4.017834867000002 182.35649277299973 4.003292017 182.34209615900025 3.975354052000002 182.31419207000022 3.989615227000001,2022-05-24 16:59:03.318,2022-05-24 17:01:58.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02101_00003_mirimage,image,calibration,MIRI/IMAGE,F560W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33026306500014 4.0142504310000025 182.35808086599985 3.9997075290000015 182.3436842620002 3.9717695909999975 182.3157803220001 3.986030818999997,2022-05-24 17:03:24.182,2022-05-24 17:06:19.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02103_00001_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33039452499983 4.009785968000001 182.3582118880003 3.9952434239999985 182.3438152590002 3.9673053050000027 182.31591197699976 3.981566470999999,2022-05-24 17:09:52.695,2022-05-24 17:11:18.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02103_00002_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.32865901799997 4.0178409340000005 182.35647667499993 4.003298430999998 182.34207994599979 3.975360291 182.31417636999979 3.9896214160000008,2022-05-24 17:15:53.463,2022-05-24 17:17:19.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02103_00003_mirimage,image,calibration,MIRI/IMAGE,F1000W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33024715000016 4.0142565449999985 182.35806465899998 3.9997139919999976 182.34366794300024 3.971775877999999 182.31576451400002 3.986037052999999,2022-05-24 17:18:39.991,2022-05-24 17:20:06.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02105_00001_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3303991199999 4.009801896999998 182.35821614499991 3.995259426999998 182.34381973999996 3.967321120999997 182.31591629100012 3.9815824220000002,2022-05-24 17:23:17.517,2022-05-24 17:24:40.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02105_00002_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.32866350199973 4.017857089999999 182.35648082900008 4.003314670999997 182.3420843339999 3.975376340000002 182.31418058499992 3.989637588,2022-05-24 17:29:18.285,2022-05-24 17:30:41.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051005001_02105_00003_mirimage,image,calibration,MIRI/IMAGE,F1800W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33025170199974 4.014272598999998 182.3580688819997 3.999730133 182.3436724009998 3.9717918259999982 182.31576879900013 3.986053121999999,2022-05-24 17:32:07.565,2022-05-24 17:33:30.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1051,jw01051006001_03101_00001_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3369086590001 4.010163409 182.36472610000013 3.9956201800000013 182.35032931999987 3.967682452000002 182.32242563799986 3.981943998,2022-05-27 04:09:09.941,2022-05-27 04:10:38.742,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2258,2.3573,1.7401,"(182.33852, 3.99312)","(13.80015, -5.04535)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.046,5.0,1.0009,125.35,2.0485,0.3624,4.3865,0.0,0.0,,True
1051,jw01051006001_03101_00002_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.335822962 4.00725628 182.3636403810002 3.992713198000002 182.34924380000018 3.9647753939999983 182.32134014200022 3.979036793000003,2022-05-27 04:12:02.037,2022-05-27 04:13:30.838,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2261,2.3573,1.7401,"(182.3387, 3.99305)","(13.80193, -5.04625)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.0582,5.0,1.0001,158.55,2.1732,0.3625,4.4178,0.0,0.0,,True
1051,jw01051006001_03101_00003_mirimage,image,calibration,MIRI/IMAGE,F770W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.3400828540001 4.010624685999998 182.36790031600017 3.9960814669999984 182.35350353800007 3.968143734000002 182.32559983599978 3.982405269000002,2022-05-27 04:14:56.884,2022-05-27 04:16:25.685,1.48,2010 SE55,-,Main-belt Asteroid,-,-,23.2264,2.3573,1.7402,"(182.33889, 3.99299)","(13.80373, -5.04717)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,0.2578,0.0123,23.295,-,0.045,5.0,1.0037,122.65,2.0485,0.3625,4.0653,0.0,0.0,,True
1051,jw01051006001_03103_00001_mirimage,image,calibration,MIRI/IMAGE,F1130W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.336894892 4.010175652999998 182.36471193899987 3.9956328369999996 182.35031518000022 3.9676948409999997 182.3224119099998 3.9819563449999977,2022-05-27 04:20:24.305,2022-05-27 04:26:00.085,5.5963,2010 SE55,-,Main-belt Asteroid,-,-,23.2273,2.3573,1.7402,"(182.33937, 3.99281)","(13.80834, -5.04952)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,1.0858,0.0123,23.295,-,0.0444,5.0,1.0119,54.49,11.0699,1.3713,10.4311,0.0,0.0,Yes,True
1051,jw01051006001_03103_00002_mirimage,image,calibration,MIRI/IMAGE,F1130W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580931300003 4.007268320999999 182.36362631999998 3.9927256180000024 182.34922972699994 3.9647875640000003 182.32132649700003 3.9790489550000006,2022-05-27 04:27:23.377,2022-05-27 04:32:59.157,5.5963,2010 SE55,-,Main-belt Asteroid,-,-,23.2281,2.3573,1.7403,"(182.33982, 3.99265)","(13.81266, -5.05173)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,1.0858,0.0123,23.295,-,0.049,5.0,1.0121,60.04,11.0699,1.3718,6.1766,0.0,0.0,Yes,True
1051,jw01051006001_03103_00003_mirimage,image,calibration,MIRI/IMAGE,F1130W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34006904700004 4.0106367569999986 182.36788610699978 3.996093937000003 182.3534893360001 3.9681559429999984 182.32558605200003 3.982417449999997,2022-05-27 04:34:25.200,2022-05-27 04:40:00.980,5.5963,2010 SE55,-,Main-belt Asteroid,-,-,23.2289,2.3573,1.7403,"(182.34027, 3.99248)","(13.81701, -5.05394)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,1.0858,0.0123,23.295,-,0.0523,5.0,1.0102,64.12,10.9599,1.3722,6.131,0.0,0.0,Yes,True
1051,jw01051006001_03105_00001_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33688832599992 4.010171139000001 182.36470545799978 3.995628446999998 182.3503086350002 3.9676904489999973 182.3224055450002 3.9819518259999973,2022-05-27 04:42:47.457,2022-05-27 04:44:10.708,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.2296,2.3573,1.7404,"(182.34067, 3.99233)","(13.82095, -5.05595)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.3268,5.0,1.0092,242.22,2.1732,0.3403,4.6396,0.0,0.0,,True
1051,jw01051006001_03105_00002_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.33580332900013 4.007263411999998 182.36362038100023 3.992720756999998 182.34922364699986 3.964782740000001 182.32132063599988 3.9790440809999974,2022-05-27 04:45:36.737,2022-05-27 04:46:59.988,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.23,2.3573,1.7404,"(182.34086, 3.99227)","(13.82269, -5.05684)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.32,5.0,1.0074,237.19,2.3578,0.3404,5.5374,0.0,0.0,,True
1051,jw01051006001_03105_00003_mirimage,image,calibration,MIRI/IMAGE,F1280W,No,ZODIACAL-LIGHT-P4-2021B,Polygon 182.34006313300017 4.010631865999999 182.36788023100019 3.9960890790000008 182.35348330499994 3.968151129999998 182.32558024700023 3.9824126029999998,2022-05-27 04:48:28.833,2022-05-27 04:49:52.084,1.3875,2010 SE55,-,Main-belt Asteroid,-,-,23.2302,2.3573,1.7404,"(182.34104, 3.9922)","(13.82447, -5.05775)",0.174,FASTR1,FULL,-32,SPARSE-CYCLING,1032 1024,MJy/sr,0.4098,0.0123,23.296,-,0.3246,5.0,1.0077,240.59,2.0485,0.3404,4.7432,0.0,0.0,,True
